"","","","","/D Administrative Base Code","#D0110101","#D01102","#D0120101","#D0130201","#D01401","#D0140201","#D0140301","#D0210101","#D0210201","#D0210301","#D0220103","#D02202","#D02204","#D02206","#D02207","#D0310301","#D0310401","#D0310501","#D0310601","#D0310701","#D0310801","#D0310901","#D0311001","#D0311101","#D0311201","#D03113","#D03114","#D0311501","#D0312301","#D0320101","#D0320201","#D0320301","#D0330103","#D0330203","#D0330303","#D0330403","#D0330503","#D0330603","#D0330703","#D0331103","#D03312","#D03313","#D0331403","#D0331503","#D0331603","#D0331703","#D0331804","#D0331903","#D0332003","#D0332103"
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/D Administrative Base","#D0110101_Financial power index (Prefecture)[-]","#D01102_Real term balance of revenue to expenditure (Prefecture)[%]","#D0120101_Percentage of self-financial resources (Prefecture)[%]","#D0130201_Percentage of outstanding amount of local bonds to expenditure (Prefecture)[%]","#D01401_Real term of current balance (Prefecture)[%]","#D0140201_Percentage of investment expenditure (Prefecture)[%]","#D0140301_Percentage of revenues from local taxes and grants (Prefecture)[%]","#D0210101_Percentage of local taxes (Prefecture)[%]","#D0210201_Percentage of grants to local governments (Prefecture)[%]","#D0210301_Percentage of national disbursements (Prefecture)[%]","#D0220103_Resident tax per capita (Prefecture + Municipality)[thousand yen]","#D02202_Fixed assets tax per capita (Prefecture + Municipality)[thousand yen]","#D02204_Amount of national tax (per capita)[thousand yen]","#D02206_Taxable income (per tax debtor)[thousand yen]","#D02207_Ratio of taxpayer (per capita)[%]","#D0310301_Percentage of welfare expenditure (Prefecture)[%]","#D0310401_Percentage of social welfare expenditure (Prefecture)[%]","#D0310501_Percentage of welfare expenditure for the aged (Prefecture)[%]","#D0310601_Percentage of welfare expenditure for children (Prefecture)[%]","#D0310701_Percentage of expenditure for livelihood protection (Prefecture)[%]","#D0310801_Percentage of health expenditure (Prefecture)[%]","#D0310901_Percentage of labour expenditure (Prefecture)[%]","#D0311001_Percentage of agriculture, forestry and fishery expenditure (Prefecture)[%]","#D0311101_Percentage of commerce and manufacturing expenditure (Prefecture)[%]","#D0311201_Percentage of public works expenditure (Prefecture)[%]","#D03113_Percentage of police expenditure (Prefecture)[%]","#D03114_Percentage of fire service expenditure (Tokyo-to + Municipality)[%]","#D0311501_Percentage of education expenditure (Prefecture)[%]","#D0312301_Percentage of disaster relief expenditure (Prefecture)[%]","#D0320101_Percentage of personnel expenses (Prefecture)[%]","#D0320201_Percentage of allowances (Prefecture)[%]","#D0320301_Percentage of ordinary construction expenses (Prefecture)[%]","#D0330103_Total expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330203_Welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330303_Social welfare expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0330403_Social welfare expenditure for aged persons per capita 65 years old and over (Prefecture + Municipality)[thousand yen]","#D0330503_Welfare expenditure for children per capita 0-17 years old (Prefecture + Municipality)[thousand yen]","#D0330603_Welfare expenditure for livelihood protection per person assisted by livelihood protection (Prefecture + Municipality)[thousand yen]","#D0330703_Health expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331103_Public works expenditure per capita (Prefecture + Municipality)[thousand yen]","#D03312_Police expenditure per capita (Prefecture)[thousand yen]","#D03313_Fire service expenditure per capita (Tokyo-to + Municipality)[thousand yen]","#D0331403_Education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0331503_Elementary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331603_Lower secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331703_Upper secondary school expenditure per student (Prefecture + Municipality)[thousand yen]","#D0331804_Expenditure for schools for special needs education per student (Prefecture + Municipality)[thousand yen]","#D0331903_Kindergarten expenditure per pupil (Prefecture + Municipality)[thousand yen]","#D0332003_Social education expenditure per capita (Prefecture + Municipality)[thousand yen]","#D0332103_Disaster relief expenditure per capita (Prefecture + Municipality)[thousand yen]"
"1975100000","1975","21000","Gifu-ken","","0.550","3.0","39.5","31.3","76.8","37.2","47.8","24.56","20.62","29.60","21.3","***","***","***","***","4.52","1.33","0.82","1.53","0.82","3.02","0.49","15.19","5.29","20.67","5.54","***","32.06","3.11","39.72","2.96","34.04","231.9","20.7","4.0","50.0","32.9","573.7","11.9","45.3","6.8","***","59.8","226.0","296.6","308.5","***","42.9","3.6","5.8"
"1975100000","1975","22000","Shizuoka-ken","","0.864","1.7","49.8","46.6","90.0","31.7","45.1","36.18","6.99","30.46","24.6","***","***","***","***","3.88","0.66","0.81","1.71","0.62","3.48","0.69","11.30","3.93","18.10","6.98","***","34.39","5.77","44.52","3.20","25.92","197.1","16.4","2.8","46.7","25.0","548.0","13.5","36.8","7.0","***","52.6","217.9","282.5","317.6","***","55.7","1.8","9.2"
"1975100000","1975","23000","Aichi-ken","","1.098","0.1","63.3","35.0","94.8","29.3","47.4","46.80","0.00","21.75","34.1","***","***","***","***","5.19","1.75","1.33","1.70","0.39","4.73","1.13","7.90","7.03","17.86","8.93","***","33.43","1.54","40.58","3.00","27.55","205.7","22.8","4.7","65.5","36.8","574.6","15.6","41.0","8.7","***","54.5","227.5","265.9","439.0","***","27.9","2.2","2.0"
"1975100000","1975","24000","Mie-ken","","0.549","0.9","35.9","34.8","87.6","34.5","44.0","22.00","20.01","32.74","20.8","***","***","***","***","4.81","1.37","0.68","1.24","1.53","4.47","0.81","10.96","3.05","19.90","5.30","***","32.71","7.40","42.08","3.94","26.78","249.6","26.3","5.4","50.3","33.7","542.2","14.8","48.6","7.2","***","65.1","254.7","298.9","344.1","***","120.8","1.7","15.3"
"1975100000","1975","25000","Shiga-ken","","0.532","-2.2","39.7","40.1","83.7","31.5","44.9","22.49","21.41","26.83","23.5","***","***","***","***","4.78","1.11","0.79","1.67","1.20","4.50","0.73","15.31","4.54","17.78","5.28","***","31.66","3.12","41.36","2.52","28.30","265.1","22.3","5.4","44.5","32.2","558.9","16.1","50.7","7.7","***","69.9","241.3","344.0","361.8","***","123.0","3.4","5.1"
"1975100000","1975","26000","Kyoto-fu","","0.795","-1.5","48.8","34.1","83.2","21.6","53.2","37.96","14.29","21.76","31.1","***","***","***","***","5.11","1.67","1.01","1.14","1.29","3.56","2.14","4.82","5.89","15.61","12.13","***","36.31","1.39","53.31","2.41","18.88","227.5","29.1","5.7","60.1","34.6","572.3","16.9","44.4","11.6","***","58.7","272.4","362.8","417.0","***","46.8","2.5","2.1"
"1975100000","1975","27000","Osaka-fu","","1.139","-4.7","62.8","55.0","99.1","25.7","46.5","46.82","0.00","16.87","36.4","***","***","***","***","5.75","1.74","1.66","2.08","0.24","5.03","1.01","3.02","5.64","18.30","11.81","***","35.79","0.05","42.97","1.64","25.43","245.2","31.2","6.1","95.3","36.5","707.3","21.3","53.2","11.6","***","65.3","252.8","360.7","547.6","***","72.7","2.8","0.1"
"1975100000","1975","28000","Hyogo-ken","","0.775","-4.6","46.3","50.7","95.9","29.8","42.6","31.85","9.83","25.29","31.0","***","***","***","***","4.73","1.39","1.16","1.44","0.71","3.63","1.00","7.00","5.18","20.18","8.82","***","35.40","3.49","43.92","2.16","26.06","248.8","25.8","6.0","69.8","29.4","575.9","17.9","58.6","9.4","***","63.0","235.5","328.3","436.1","***","104.2","2.8","6.7"
"1975100000","1975","29000","Nara-ken","","0.403","-0.7","35.2","31.5","85.3","28.0","50.4","19.24","29.64","27.34","22.2","***","***","***","***","7.08","2.16","1.57","1.87","1.48","3.50","1.29","8.18","8.14","20.54","6.12","***","34.54","1.17","43.73","3.12","26.15","230.9","28.3","6.7","74.0","33.2","484.3","13.7","42.1","7.2","***","66.3","273.9","365.6","380.4","***","137.1","3.5","2.0"
"1975100000","1975","30000","Wakayama-ken","","0.400","0.2","36.2","22.0","80.5","30.6","49.8","19.29","28.66","30.14","18.9","***","***","***","***","9.58","4.69","1.13","1.98","1.77","4.34","0.84","13.23","4.89","16.98","5.43","***","31.88","3.15","44.91","4.40","27.11","280.5","35.3","11.3","62.9","35.8","528.9","15.6","53.4","8.2","***","66.2","263.8","316.2","296.9","***","57.3","3.8","7.9"
"1975100000","1975","31000","Tottori-ken","","0.268","-0.2","27.8","26.8","75.7","35.2","45.0","11.60","31.53","32.91","16.0","***","***","***","***","6.56","1.28","1.31","2.42","1.55","5.05","0.54","17.33","7.94","21.27","5.10","***","26.78","0.87","37.71","3.78","34.16","326.1","35.3","6.4","67.6","51.9","526.6","18.0","62.8","10.4","***","72.6","280.9","291.8","365.4","***","38.1","4.3","2.3"
"1975100000","1975","32000","Shimane-ken","","0.247","-2.6","27.2","24.7","82.7","38.0","40.2","9.43","29.06","36.79","14.8","***","***","***","***","5.61","1.26","1.28","1.35","1.68","4.06","0.77","16.23","7.74","21.60","4.16","***","25.73","5.04","34.82","3.85","32.94","370.2","33.2","6.2","67.8","43.2","480.9","20.7","69.4","9.5","***","78.4","312.0","348.9","415.3","***","106.4","3.1","19.1"
"1975100000","1975","33000","Okayama-ken","","0.586","-1.1","42.6","35.6","91.6","32.6","41.3","22.95","16.50","27.93","23.1","***","***","***","***","5.73","1.45","1.07","1.54","1.66","3.83","1.14","12.45","6.40","20.62","6.07","***","30.09","1.98","39.72","3.17","30.33","257.5","28.5","5.6","62.1","33.7","575.5","14.8","50.5","8.3","***","61.4","251.4","288.6","325.2","***","133.0","3.5","4.3"
"1975100000","1975","34000","Hiroshima-ken","","0.750","-1.8","44.4","33.4","88.8","32.6","45.0","32.51","11.24","32.22","28.3","***","***","***","***","5.62","1.24","1.15","1.85","1.36","4.05","1.32","9.90","5.70","21.98","6.42","***","33.31","2.83","42.26","4.72","29.20","231.2","25.2","4.8","62.6","35.3","575.2","18.1","44.7","7.3","***","58.4","254.1","318.5","358.5","***","45.2","3.0","5.6"
"1975100000","1975","35000","Yamaguchi-ken","","0.540","0.3","38.8","34.2","92.7","31.3","43.7","22.92","18.85","29.04","23.6","***","***","***","***","5.71","1.25","1.37","1.74","1.33","4.15","1.28","10.38","6.74","21.09","6.81","***","31.04","3.17","41.59","4.36","28.01","257.5","27.7","5.5","69.3","30.9","591.1","14.3","52.1","9.4","***","59.7","231.2","297.6","388.4","***","36.4","4.0","6.9"
"1975100000","1975","36000","Tokushima-ken","","0.286","0.4","30.4","28.9","82.1","33.4","43.0","11.23","29.68","32.51","16.0","***","***","***","***","7.50","1.43","1.15","1.84","3.00","5.50","1.06","12.50","7.72","20.36","4.65","***","26.86","5.35","35.83","6.34","27.83","321.5","37.9","7.7","76.0","41.1","546.0","17.8","64.2","9.0","***","73.5","299.2","331.4","361.5","***","128.9","2.4","14.6"
